,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_neighbors__algorithm,param_neighbors__n_neighbors,param_neighbors__weights,param_preprocessing__getlemmas,param_preprocessing__getstemmer,param_preprocessing__removestopwords,param_tfidf__analyzer,param_tfidf__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1165,0.7012674808502197,0.19326628564589562,0.3559993902842204,0.055679291683200155,kd_tree,5,uniform,True,True,True,char_wb,"(1, 2)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': True, 'tfidf__analyzer': 'char_wb', 'tfidf__ngram_range': (1, 2)}",0.5197368421052632,0.5247524752475248,0.5247524752475248,0.5230805975334376,0.002364392137891451,2488
1166,0.6090303262074789,0.0424666695697958,0.32066138585408527,0.03719034310379263,kd_tree,5,uniform,True,True,True,char_wb,"(1, 3)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': True, 'tfidf__analyzer': 'char_wb', 'tfidf__ngram_range': (1, 3)}",0.5427631578947368,0.5346534653465347,0.5511551155115512,0.5428572462509408,0.006737098980334043,1864
1167,0.8370019594828287,0.20932722276967436,0.42733240127563477,0.12469518247929394,kd_tree,5,uniform,True,True,True,char_wb,"(1, 4)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': True, 'tfidf__analyzer': 'char_wb', 'tfidf__ngram_range': (1, 4)}",0.5526315789473685,0.5511551155115512,0.5874587458745875,0.5637484801111691,0.016776521550434215,664
1168,1.3177177906036377,0.5304324526191924,0.7470281918843588,0.3470566597996586,kd_tree,5,uniform,True,True,True,char_wb,"(1, 5)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': True, 'tfidf__analyzer': 'char_wb', 'tfidf__ngram_range': (1, 5)}",0.555921052631579,0.5346534653465347,0.5643564356435643,0.5516436512072259,0.012497699343621842,1426
1169,0.5952624479929606,0.1518757830216092,0.3550272782643636,0.05863799895446907,kd_tree,5,uniform,True,True,True,char_wb,"(2, 3)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': True, 'tfidf__analyzer': 'char_wb', 'tfidf__ngram_range': (2, 3)}",0.5921052631578947,0.5775577557755776,0.5676567656765676,0.5791065948700133,0.010040963903893993,76
1170,0.6736689408620199,0.0934837276531032,0.4669978618621826,0.0818118677825648,kd_tree,5,uniform,True,True,False,word,"(1, 1)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'word', 'tfidf__ngram_range': (1, 1)}",0.5394736842105263,0.504950495049505,0.5643564356435643,0.5362602049678652,0.02435858891778541,2167
1171,0.5113035837809244,0.005914771075531194,0.27835877736409503,0.008966445636162078,kd_tree,5,uniform,True,True,False,word,"(1, 2)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'word', 'tfidf__ngram_range': (1, 2)}",0.5296052631578947,0.5313531353135313,0.5808580858085809,0.5472721614266689,0.023759552488893693,1612
1172,0.5433305899302164,0.026202138367823705,0.32268595695495605,0.07453728577621192,kd_tree,5,uniform,True,True,False,word,"(1, 3)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'word', 'tfidf__ngram_range': (1, 3)}",0.5296052631578947,0.5379537953795379,0.5511551155115512,0.5395713913496613,0.00887173401532522,2014
1173,0.8986543019612631,0.27686413905667195,0.41217827796936035,0.048382175942383115,kd_tree,5,uniform,True,True,False,word,"(1, 4)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'word', 'tfidf__ngram_range': (1, 4)}",0.5296052631578947,0.5346534653465347,0.5511551155115512,0.5384712813386602,0.009202565704859896,2068
1174,0.6304469108581543,0.02196185692183644,0.33002956708272296,0.01838355186701736,kd_tree,5,uniform,True,True,False,word,"(1, 5)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'word', 'tfidf__ngram_range': (1, 5)}",0.5296052631578947,0.528052805280528,0.5478547854785478,0.5351709513056568,0.008991190813208868,2200
1175,0.5599823792775472,0.03215064573168401,0.2850002447764079,0.012026702146704668,kd_tree,5,uniform,True,True,False,word,"(2, 3)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'word', 'tfidf__ngram_range': (2, 3)}",0.555921052631579,0.5610561056105611,0.5742574257425742,0.5637448613282382,0.007723457783420275,673
1176,0.49599599838256836,0.002828053737754352,0.2696799437204997,0.009975152326909185,kd_tree,5,uniform,True,True,False,char,"(1, 1)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'char', 'tfidf__ngram_range': (1, 1)}",0.5263157894736842,0.5082508250825083,0.5445544554455446,0.526373690000579,0.014820951582973202,2458
1177,0.5457294782002767,0.013339374523172345,0.31435100237528485,0.013995104247933664,kd_tree,5,uniform,True,True,False,char,"(1, 2)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'char', 'tfidf__ngram_range': (1, 2)}",0.5460526315789473,0.504950495049505,0.5379537953795379,0.5296523073359968,0.017776997020944856,2368
